systemId,Code,Quantity,Amount,Sale Date,Transaction ID
16961,1058,6,174.300000000,2022-03-11,382926
16767,1120,10,193.800000000,2022-03-11,382969
16767,9524,20,132.200000000,2022-03-11,382969
16767,9525,12,133.320000000,2022-03-11,382969
16767,9528,20,130.200000000,2022-03-11,382969
23284,1120,10,193.800000000,2022-03-11,382905
7332,9337,6,156.480000000,2022-03-11,382940
27362,594,2,65.980000000,2022-03-11,383236
23068,1117,72,977.760000000,2022-03-11,382131
23068,9524,40,248.400000000,2022-03-11,382131
23068,9525,132,1309.440000000,2022-03-11,382131
23068,9527,96,1003.200000000,2022-03-11,382131
23068,9528,120,741.600000000,2022-03-11,382131
26669,594,30,981.900000000,2022-03-11,382917
27075,1058,1,20.430000000,2022-03-11,383443
27337,9549,22,0.000000000,2022-03-11,383426
27337,9549,110,933.900000000,2022-03-11,383406
23346,594,8,274.400000000,2022-03-11,383383
15446,850,4,153.800000000,2022-03-11,383294
15446,1058,6,159.240000000,2022-03-11,383294
16549,9337,12,285.840000000,2022-03-11,383261
26116,9337,12,297.000000000,2022-03-11,383341
16948,594,6,179.460000000,2022-03-11,383399
18553,1116,18,202.500000000,2022-03-11,383315
18553,9550,22,186.780000000,2022-03-11,383315
25933,1116,10,112.500000000,2022-03-11,383395
17315,909,5,294.500000000,2022-03-12,383243
19828,850,20,831.600000000,2022-03-12,383368
26465,9337,18,469.440000000,2022-03-12,383338
14492,594,12,375.600000000,2022-03-12,383377
22840,594,12,345.960000000,2022-03-12,383421
16737,9524,20,122.200000000,2022-03-12,383305
16888,9337,6,143.100000000,2022-03-12,383297
22038,9549,22,186.780000000,2022-03-12,383306
16736,9337,12,286.200000000,2022-03-12,383253
12986,1058,3,79.590000000,2022-03-12,383335
19041,9337,12,312.960000000,2022-03-12,383266
23168,9524,20,132.200000000,2022-03-12,383217
24179,9525,120,1419.600000000,2022-03-12,383290
24179,9527,16,0.000000000,2022-03-12,383292
19865,1081,4,170.400000000,2022-03-12,383254
13797,594,48,1583.520000000,2022-03-12,383334
7853,594,18,593.820000000,2022-03-12,383330
7853,1058,6,174.300000000,2022-03-12,383330
1671,9550,66,560.340000000,2022-03-12,383249
5008,594,24,718.800000000,2022-03-12,383289
23622,9525,24,266.640000000,2022-03-12,383337
27401,1130,11,63.690000000,2022-03-12,383482
27185,1081,24,964.320000000,2022-03-12,383244
22494,594,18,563.400000000,2022-03-12,383320
22494,850,1,41.580000000,2022-03-12,383320
23082,850,4,170.320000000,2022-03-12,383245
4744,1058,6,181.020000000,2022-03-12,383241
4744,9337,12,335.880000000,2022-03-12,383241
23379,9525,36,399.960000000,2022-03-12,382718
20278,1000,6,145.500000000,2022-03-12,381297
21008,1000,6,145.500000000,2022-03-12,381306
21964,9549,22,205.920000000,2022-03-12,383486
9702,850,8,332.640000000,2022-03-12,383295
22075,9524,20,132.200000000,2022-03-12,383402
19939,1081,4,157.520000000,2022-03-12,383493
20047,594,1,23.790000000,2022-03-12,383506
27116,9524,20,132.200000000,2022-03-14,383385
27116,9525,12,133.320000000,2022-03-14,383385
8442,1120,100,1800.000000000,2022-03-14,383246
17887,1116,18,202.500000000,2022-03-14,383262
17887,9549,22,186.780000000,2022-03-14,383262
23110,9527,16,0.000000000,2022-03-14,383425
23110,9525,120,1441.200000000,2022-03-14,383424
23110,9527,32,342.720000000,2022-03-14,383424
23110,9549,44,373.560000000,2022-03-14,383424
8030,9525,120,1232.400000000,2022-03-14,383169
8030,9549,66,525.360000000,2022-03-14,383169
20549,9527,16,0.000000000,2022-03-14,383014
20549,9549,22,0.000000000,2022-03-14,383014
20549,9524,20,144.000000000,2022-03-14,383011
20549,9525,48,587.040000000,2022-03-14,383011
20549,9527,48,648.000000000,2022-03-14,383011
20549,9549,66,524.700000000,2022-03-14,383011
27120,9337,6,145.860000000,2022-03-14,383309
27043,1057,64,1600.000000000,2022-03-14,383434
21919,9337,30,869.700000000,2022-03-14,383389
21350,9549,22,186.780000000,2022-03-14,383311
25545,9525,12,133.320000000,2022-03-14,383287
21469,9524,20,132.200000000,2022-03-14,383248
19686,9525,12,133.320000000,2022-03-14,383278
19686,9549,22,186.780000000,2022-03-14,383278
21037,9524,20,132.200000000,2022-03-14,383332
21037,9525,12,133.320000000,2022-03-14,383332
21037,9549,22,186.780000000,2022-03-14,383332
4015,9525,24,266.640000000,2022-03-14,383321
11519,9337,4,104.320000000,2022-03-14,383232
8271,9337,6,167.940000000,2022-03-14,383242
26241,9337,12,291.720000000,2022-03-14,383370
22605,1120,12,232.560000000,2022-03-14,383400
22605,9524,20,132.200000000,2022-03-14,383400
23202,9527,16,158.880000000,2022-03-14,383210
23202,9549,22,186.780000000,2022-03-14,383210
21494,9550,44,373.560000000,2022-03-14,383410
21419,1117,18,232.560000000,2022-03-14,383403
21419,1120,10,193.800000000,2022-03-14,383403
21419,9525,12,133.320000000,2022-03-14,383403
21099,1112,20,156.200000000,2022-03-14,383404
21099,1120,10,193.800000000,2022-03-14,383404
21099,9525,12,133.320000000,2022-03-14,383404
17226,1120,10,193.800000000,2022-03-14,383282
17226,9525,24,266.640000000,2022-03-14,383282
19560,1120,10,185.200000000,2022-03-14,383300
27146,1057,24,600.000000000,2022-03-14,383331
5632,614,1,244.000000000,2022-03-14,383372
5632,850,12,570.000000000,2022-03-14,383372
5632,1057,24,809.760000000,2022-03-14,383372
5139,9525,60,666.600000000,2022-03-14,383322
5139,9527,16,0.000000000,2022-03-14,383366
25434,9337,18,469.440000000,2022-03-14,383359
12963,9525,120,1333.200000000,2022-03-14,383252
12963,9527,80,794.400000000,2022-03-14,383252
12963,9549,110,933.900000000,2022-03-14,383252
12963,9550,66,560.340000000,2022-03-14,383252
12963,9525,24,0.000000000,2022-03-14,383256
12963,9527,16,0.000000000,2022-03-14,383256
12963,9549,22,0.000000000,2022-03-14,383256
22910,1117,18,232.560000000,2022-03-14,382914
22910,9525,24,266.640000000,2022-03-14,382914
